t,if,il,vl
-1.0000,5.0000,5.0000,0.0000
-0.9900,5.0000,5.0000,0.0000
-0.9800,5.0000,5.0000,0.0000
-0.9700,5.0000,5.0000,0.0000
-0.9600,5.0000,5.0000,0.0000
-0.9500,5.0000,5.0000,0.0000
-0.9400,5.0000,5.0000,0.0000
-0.9300,5.0000,5.0000,0.0000
-0.9200,5.0000,5.0000,0.0000
-0.9100,5.0000,5.0000,0.0000
-0.9000,5.0000,5.0000,0.0000
-0.8900,5.0000,5.0000,0.0000
-0.8800,5.0000,5.0000,0.0000
-0.8700,5.0000,5.0000,0.0000
-0.8600,5.0000,5.0000,0.0000
-0.8500,5.0000,5.0000,0.0000
-0.8400,5.0000,5.0000,0.0000
-0.8300,5.0000,5.0000,0.0000
-0.8200,5.0000,5.0000,0.0000
-0.8100,5.0000,5.0000,0.0000
-0.8000,5.0000,5.0000,0.0000
-0.7900,5.0000,5.0000,0.0000
-0.7800,5.0000,5.0000,0.0000
-0.7700,5.0000,5.0000,0.0000
-0.7600,5.0000,5.0000,0.0000
-0.7500,5.0000,5.0000,0.0000
-0.7400,5.0000,5.0000,0.0000
-0.7300,5.0000,5.0000,0.0000
-0.7200,5.0000,5.0000,0.0000
-0.7100,5.0000,5.0000,0.0000
-0.7000,5.0000,5.0000,0.0000
-0.6900,5.0000,5.0000,0.0000
-0.6800,5.0000,5.0000,0.0000
-0.6700,5.0000,5.0000,0.0000
-0.6600,5.0000,5.0000,0.0000
-0.6500,5.0000,5.0000,0.0000
-0.6400,5.0000,5.0000,0.0000
-0.6300,5.0000,5.0000,0.0000
-0.6200,5.0000,5.0000,0.0000
-0.6100,5.0000,5.0000,0.0000
-0.6000,5.0000,5.0000,0.0000
-0.5900,5.0000,5.0000,0.0000
-0.5800,5.0000,5.0000,0.0000
-0.5700,5.0000,5.0000,0.0000
-0.5600,5.0000,5.0000,0.0000
-0.5500,5.0000,5.0000,0.0000
-0.5400,5.0000,5.0000,0.0000
-0.5300,5.0000,5.0000,0.0000
-0.5200,5.0000,5.0000,0.0000
-0.5100,5.0000,5.0000,0.0000
-0.5000,5.0000,5.0000,0.0000
-0.4900,5.0000,5.0000,0.0000
-0.4800,5.0000,5.0000,0.0000
-0.4700,5.0000,5.0000,0.0000
-0.4600,5.0000,5.0000,0.0000
-0.4500,5.0000,5.0000,0.0000
-0.4400,5.0000,5.0000,0.0000
-0.4300,5.0000,5.0000,0.0000
-0.4200,5.0000,5.0000,0.0000
-0.4100,5.0000,5.0000,0.0000
-0.4000,5.0000,5.0000,0.0000
-0.3900,5.0000,5.0000,0.0000
-0.3800,5.0000,5.0000,0.0000
-0.3700,5.0000,5.0000,0.0000
-0.3600,5.0000,5.0000,0.0000
-0.3500,5.0000,5.0000,0.0000
-0.3400,5.0000,5.0000,0.0000
-0.3300,5.0000,5.0000,0.0000
-0.3200,5.0000,5.0000,0.0000
-0.3100,5.0000,5.0000,0.0000
-0.3000,5.0000,5.0000,0.0000
-0.2900,5.0000,5.0000,0.0000
-0.2800,5.0000,5.0000,0.0000
-0.2700,5.0000,5.0000,0.0000
-0.2600,5.0000,5.0000,0.0000
-0.2500,5.0000,5.0000,0.0000
-0.2400,5.0000,5.0000,0.0000
-0.2300,5.0000,5.0000,0.0000
-0.2200,5.0000,5.0000,0.0000
-0.2100,5.0000,5.0000,0.0000
-0.2000,5.0000,5.0000,0.0000
-0.1900,5.0000,5.0000,0.0000
-0.1800,5.0000,5.0000,0.0000
-0.1700,5.0000,5.0000,0.0000
-0.1600,5.0000,5.0000,0.0000
-0.1500,5.0000,5.0000,0.0000
-0.1400,5.0000,5.0000,0.0000
-0.1300,5.0000,5.0000,0.0000
